Wall time,Step,Value
1611079959.8274498,467700,-281.44989013671875
1611080000.9974694,468500,-281.8537292480469
1611080020.6534731,468900,-283.1065368652344
1611080051.728472,469600,-278.48828125
1611080055.9414668,469700,-268.5347900390625
1611080060.694465,469800,-273.68804931640625
1611080111.2104678,470800,-282.4869689941406
1611080232.9484937,473400,-280.81610107421875
1611080255.3804924,473900,-279.01324462890625
1611080334.4934988,475500,-285.5768737792969
1611080390.2034926,476600,-286.9593811035156
1611080410.1415865,477000,-278.68731689453125
1611080415.6575866,477100,-284.7021484375
1611080458.415604,477900,-280.3395690917969
1611080493.990606,478500,-279.1575927734375
1611080509.348609,478800,-271.6375732421875
1611080557.7606108,479700,-278.3458251953125
1611080587.9926097,480100,-280.675537109375
1611080623.81758,480800,-285.0886535644531
1611080628.7985795,480900,-287.9750061035156
1611080658.5582006,481500,-285.8399658203125
1611080695.0952,482100,-279.47955322265625
1611080704.318198,482300,-285.88458251953125
1611080717.8311987,482600,-269.2620849609375
1611080881.1182008,486100,-281.14300537109375
1611080933.4081979,487300,-280.4880676269531
1611081018.6861982,489200,-282.3365478515625
1611081028.276198,489400,-289.089599609375
1611081124.9692001,491500,-275.59771728515625
1611081230.8823836,493500,-278.35345458984375
1611081360.299445,495900,-283.3374938964844
1611081382.0764463,496200,-283.0986633300781
1611081451.3314507,497500,-289.4043273925781
1611081495.246205,498300,-279.65301513671875
1611081549.5829873,499200,-280.08038330078125
1611081572.0220242,499500,-287.7657470703125
1611081582.717714,499700,-272.4781799316406
1611081588.8717096,499800,-277.031982421875
1611081816.5472689,504200,-281.2916259765625
1611081847.0992656,504800,-279.2916259765625
1611081861.0792627,505100,-281.36834716796875
1611081897.332871,505800,-281.3707275390625
1611081968.5505538,507100,-275.78973388671875
1611081978.9905617,507300,-272.25885009765625
1611081983.7305589,507400,-276.5314636230469
1611082023.7645602,508100,-275.9521789550781
1611082116.3207185,509900,-273.9797058105469
1611082233.0048366,512200,-283.0587463378906
